"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","Consensus"
"05b377465b9d133acd4df135abf07c52","Eukaryota","Archaeplastida","Chloroplastida","Charophyta","Phragmoplastophyta","Streptophyta","Embryophyta","Tracheophyta","Spermatophyta","Magnoliophyta","Arachis duranensis","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"05b444ecb4ad615e0b9959c74951d7b0","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"05c3b2bf6c3b3f9d44d1b530900cf919","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Metalinhomoeus","1"
"05ce97e2b576916f3ee050ed3eb318df","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Cryptomycota","Incertae Sedis","Incertae Sedis","Incertae Sedis","Incertae Sedis","Paramicrosporidium","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"05da720999496601cee901ab662f23b8","Eukaryota","Excavata","Metamonada","Fornicata","Carpediomonas-like organisms","Carpediemonas","Carpediemonas sp. EH-2016a","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"05dce849b27adab1fc704ac138951c23","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","uncultured labyrinthulid","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0603ce9e0f6def9950e9781c537b1c7e","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06138bb48dcb4b812dc2adae330cd0f9","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Durinskia","Peridinium balticum","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"064dea3728c508f034e4183c745acbb2","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCP clade","Bilateria","Protostomia","Ecdysozoa","Arthropoda","Crustacea","Maxillopoda","Copepoda","Harpacticoida","Parabradya dilatata","Unassigned","Unassigned","Unassigned","Unassigned","1"
"065488fca6c86402792d824ca113488b","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06583ab5e371041f13d0889b33c05bcc","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Amphora","Amphora sp. 35","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
